1;775
1;2011
1;2011-3
1;1366
1;1156
1;1155
1;1150
1;1151
1;AM2
1;AM3
1;AM3+
1;FM1
1;FM2
2;775
2;1156
2;1155
2;1150
2;1151
2;AM2+
2;AM2
2;AM3
2;AM3+
2;FM1
2;FM2
3;775
3;1156
3;1155
3;1150
3;1151
3;1366
3;AM2+
3;AM2
3;AM3
3;AM3+
3;FM1
3;FM2
3;FM2+
4;775
4;2011
4;1366
4;1156
4;1155
4;1150
4;1151
4;AM2+
4;AM2
4;AM3
4;AM3+
4;FM1
4;FM2
4;FM2+
5;775
5;2011
5;2011-3
5;1366
5;1156
5;1155
5;1150
5;1151
5;AM2+
5;AM2
5;AM3
5;AM3+
5;FM1
5;FM2
5;FM2+
6;775
6;2011
6;2011-3
6;1366
6;1156
6;1155
6;1150
6;1151
6;AM2+
6;AM2
6;AM3
6;AM3+
6;FM1
6;FM2
6;FM2+
7;2011
7;2011-3
7;1366
7;1156
7;1155
7;1150
7;1151
7;AM2+
7;AM2
7;AM3
7;AM3+
7;FM1
7;FM2
7;FM2+
